id,latitude,longitude,image,confidence
1906,42.3507912432,-5.7366454113,1906.png,0.68255
1918,42.3507922099,-5.7366471453,1918.png,0.74664
1922,42.3507860743,-5.7366494044,1922.png,0.71044
1978,42.3507826703,-5.7366434450,1978.png,0.66792
1986,42.3507770231,-5.7366435263,1986.png,0.66230
2019,42.3507780676,-5.7366416976,2019.png,0.64007
2048,42.3507679070,-5.7366437429,2048.png,0.78464
2075,42.3507755037,-5.7366412945,2075.png,0.68382
2034,42.3507759884,-5.7366423141,2034.png,0.65817
2090,42.3507643331,-5.7366392722,2090.png,0.64607
2108,42.3507705897,-5.7366406671,2108.png,0.63674
2147,42.3507668110,-5.7366366512,2147.png,0.62990
2165,42.3507643828,-5.7366391223,2165.png,0.73130
2195,42.3507533404,-5.7366394079,2195.png,0.75785
2198,42.3507642492,-5.7366391511,2198.png,0.68854
2180,42.3507540308,-5.7366375502,2180.png,0.64567
2199,42.3507526262,-5.7366419854,2199.png,0.63670
2221,42.3507578292,-5.7366390680,2221.png,0.72428
2227,42.3507465218,-5.7366367333,2227.png,0.65527
2242,42.3507570991,-5.7366389172,2242.png,0.61394
2260,42.3507459242,-5.7366123632,2260.png,0.75869
2277,42.3507426643,-5.7366369897,2277.png,0.78453
